Gene	Score	Prediction	Annotation	Comment	Rank gradR analysis
slr1475	-1,0045092723	Non RNA-binding protein			
slr5056	-1,0046243622	Non RNA-binding protein			
sll0848	-1,0047348037	Non RNA-binding protein			
ssr6024	-1,0049313289	Non RNA-binding protein			
ssr6083	-1,0049313289	Non RNA-binding protein			
ssr6024	-1,0049313289	Non RNA-binding protein			
ssr6083	-1,0049313289	Non RNA-binding protein			
sll1005	-1,0051365498	Non RNA-binding protein			
sll7085	-1,0051437266	Non RNA-binding protein			
slr1894	-1,0052736072	Non RNA-binding protein			
slr1645	-1,0053993225	Non RNA-binding protein			
sll1980	-1,0055346744	Non RNA-binding protein			
sll1883	-1,0061302915	Non RNA-binding protein			
slr1970	-1,0064730108	Non RNA-binding protein			
slr1994	-1,0073241351	Non RNA-binding protein			
slr5022	-1,0079224343	Non RNA-binding protein			
slr1567	-1,0080984324	Non RNA-binding protein			
sll0040	-1,0088730868	Non RNA-binding protein			
slr6006	-1,0092738192	Non RNA-binding protein			
slr6065	-1,0092738192	Non RNA-binding protein			
slr6006	-1,0092738192	Non RNA-binding protein			
slr6065	-1,0092738192	Non RNA-binding protein			
sll5089	-1,0106631088	Non RNA-binding protein			
ssl2996	-1,0108467123	Non RNA-binding protein			
ssl5068	-1,0113794853	Non RNA-binding protein			
sll1255	-1,0122099084	Non RNA-binding protein			
slr0971	-1,0129584259	Non RNA-binding protein			
slr0867	-1,0129877189	Non RNA-binding protein			
slr0016	-1,0145669392	Non RNA-binding protein			
sll1858	-1,0145791772	Non RNA-binding protein			
sll1527	-1,0148240493	Non RNA-binding protein			
ssr2781	-1,0157410141	Non RNA-binding protein			
slr7092	-1,0169166999	Non RNA-binding protein			
sll1219	-1,0170795529	Non RNA-binding protein			
sll1693	-1,0174995136	Non RNA-binding protein			
slr0677	-1,0181739806	Non RNA-binding protein			
ssr1256	-1,0188193629	Non RNA-binding protein			
slr1099	-1,0191731635	Non RNA-binding protein			
sll0914	-1,0193831804	Non RNA-binding protein			
sll0507	-1,0196565115	Non RNA-binding protein			
slr1069	-1,0197250618	Non RNA-binding protein			
slr0710	-1,0202833551	Non RNA-binding protein			
slr0329	-1,0211177197	Non RNA-binding protein			
sll1033	-1,0214309426	Non RNA-binding protein			
sll1482	-1,0215011704	Non RNA-binding protein			
sll0354	-1,0231592182	Non RNA-binding protein			
sll1395	-1,0239082329	Non RNA-binding protein			
slr0468	-1,0247649683	Non RNA-binding protein			
slr7026	-1,0264289966	Non RNA-binding protein			
ssr3465	-1,0264550062	Non RNA-binding protein			
sll1713	-1,0265694232	Non RNA-binding protein			
slr6057	-1,0272439211	Non RNA-binding protein			
slr6057	-1,0272439211	Non RNA-binding protein			
sll1489	-1,0274890386	Non RNA-binding protein			
sll1917	-1,0275703795	Non RNA-binding protein			
sll1651	-1,0277666727	Non RNA-binding protein			
ssr2754	-1,0278368295	Non RNA-binding protein			
slr0527	-1,0279796469	Non RNA-binding protein			
slr1934	-1,0287763847	Non RNA-binding protein			
sll0178	-1,0297180027	Non RNA-binding protein			
sll0578	-1,0313902694	Non RNA-binding protein			
slr1501	-1,0329510952	Non RNA-binding protein			
slr1064	-1,0333283309	Non RNA-binding protein			
sll1738	-1,0334118709	Non RNA-binding protein			
sll6017	-1,0337430666	Non RNA-binding protein			
sll6076	-1,0337430666	Non RNA-binding protein			
sll6017	-1,0337430666	Non RNA-binding protein			
sll6076	-1,0337430666	Non RNA-binding protein			
ssr1274	-1,0359178898	Non RNA-binding protein			
slr1173	-1,0374934847	Non RNA-binding protein			
ssl2138	-1,0381016938	Non RNA-binding protein			
slr1459	-1,0385416623	Non RNA-binding protein			
slr0245	-1,0392493177	Non RNA-binding protein			
slr1143	-1,0394166007	Non RNA-binding protein			
slr1759	-1,0394951449	Non RNA-binding protein			
sll1446	-1,0396986427	Non RNA-binding protein			
slr2125	-1,0405623956	Non RNA-binding protein			
slr1051	-1,0410008476	Non RNA-binding protein			
ssl5068	-1,0417955344	Non RNA-binding protein			
slr7092	-1,0422735237	Non RNA-binding protein			
ssl5108	-1,0427459006	Non RNA-binding protein			
sll0565	-1,0432357462	Non RNA-binding protein			
slr2114	-1,0434272299	Non RNA-binding protein			
slr0981	-1,0443753321	Non RNA-binding protein			
sll1715	-1,0457941728	Non RNA-binding protein			
sll1462	-1,0460851921	Non RNA-binding protein			
slr1474	-1,0474242479	Non RNA-binding protein			
slr0783	-1,0479454179	Non RNA-binding protein			
slr0656	-1,0485425324	Non RNA-binding protein			
slr0496	-1,0487650589	Non RNA-binding protein			
sll0022	-1,0491678557	Non RNA-binding protein			
sll1505	-1,0494687466	Non RNA-binding protein			
slr0885	-1,0495063236	Non RNA-binding protein			
sll0804	-1,0498160929	Non RNA-binding protein			
slr0095	-1,0506909417	Non RNA-binding protein			
slr0293	-1,0507287087	Non RNA-binding protein			
slr0862	-1,0515084115	Non RNA-binding protein			
sll0384	-1,0524072092	Non RNA-binding protein			
sll0669	-1,0527918159	Non RNA-binding protein			
ssl1533	-1,0533906756	Non RNA-binding protein			
slr5116	-1,0550270867	Non RNA-binding protein			
slr0607	-1,0554355164	Non RNA-binding protein			
sll1063	-1,0573208984	Non RNA-binding protein			
slr1780	-1,0580396841	Non RNA-binding protein			
sll1538	-1,0582936184	Non RNA-binding protein			
ssl0832	-1,0584375877	Non RNA-binding protein			
ssr3589	-1,0586353156	Non RNA-binding protein			
sll1560	-1,0588181105	Non RNA-binding protein			
slr1579	-1,0589315422	Non RNA-binding protein			
slr1906	-1,0596124317	Non RNA-binding protein			
slr1623	-1,0597268976	Non RNA-binding protein			
sll1359	-1,0600566564	Non RNA-binding protein			
slr1140	-1,0601492578	Non RNA-binding protein			
slr1025	-1,0602838404	Non RNA-binding protein			
slr8037	-1,0606798285	Non RNA-binding protein			
slr1272	-1,0608043862	Non RNA-binding protein			
slr1956	-1,0612680804	Non RNA-binding protein			
slr1863	-1,0616115823	Non RNA-binding protein			
sll1358	-1,0617219084	Non RNA-binding protein			
sll0018	-1,0620602858	Non RNA-binding protein			
sll0716	-1,0623278025	Non RNA-binding protein			
slr1913	-1,0626863946	Non RNA-binding protein			
sll0508	-1,0644354868	Non RNA-binding protein			
sll0167	-1,0651205596	Non RNA-binding protein			
sll0208	-1,0651575742	Non RNA-binding protein			
slr0771	-1,0672772804	Non RNA-binding protein			
slr2034	-1,0678103203	Non RNA-binding protein			
slr0473	-1,0679471423	Non RNA-binding protein			
slr1734	-1,0681221085	Non RNA-binding protein			
sll0249	-1,0682948915	Non RNA-binding protein			
ssl3829	-1,0689138322	Non RNA-binding protein			
slr0335	-1,0693207342	Non RNA-binding protein			
sll8034	-1,0696935111	Non RNA-binding protein			
sll8034	-1,0696935111	Non RNA-binding protein			
slr1281	-1,0700009217	Non RNA-binding protein			
sll0327	-1,0704596979	Non RNA-binding protein			
sll0471	-1,0721475998	Non RNA-binding protein			
sll1751	-1,0722995455	Non RNA-binding protein			
slr1963	-1,0725526725	Non RNA-binding protein			
sll0264	-1,0726125709	Non RNA-binding protein			
slr8037	-1,0726712222	Non RNA-binding protein			
sll5030	-1,0727837823	Non RNA-binding protein			
sll5030	-1,0727837823	Non RNA-binding protein			
ssl5108	-1,0731619497	Non RNA-binding protein			
sll0593	-1,0734357045	Non RNA-binding protein			
sll1078	-1,0737038357	Non RNA-binding protein			
slr0066	-1,0738998291	Non RNA-binding protein			
sll0842	-1,0739102572	Non RNA-binding protein			
sll0094	-1,0741093713	Non RNA-binding protein			
sll1900	-1,0745261306	Non RNA-binding protein			
slr1384	-1,0745715335	Non RNA-binding protein			
slr1969	-1,0763536991	Non RNA-binding protein			
ssr0515	-1,0769644889	Non RNA-binding protein			
slr0606	-1,0777890794	Non RNA-binding protein			
sll1664	-1,0783917804	Non RNA-binding protein			
sll0289	-1,0786776294	Non RNA-binding protein			
sll1129	-1,0802480139	Non RNA-binding protein			
sll0300	-1,0817819346	Non RNA-binding protein			
ndhK2	-1,0821715206	Non RNA-binding protein			
sll8031	-1,0821715206	Non RNA-binding protein			
sll0739	-1,0832928092	Non RNA-binding protein			
slr0116	-1,0839434555	Non RNA-binding protein			
slr2120	-1,0839731524	Non RNA-binding protein			
sll1956	-1,0844931192	Non RNA-binding protein			
sll1950	-1,0845539661	Non RNA-binding protein			
slr0038	-1,0853771985	Non RNA-binding protein			
slr5058	-1,0859789426	Non RNA-binding protein			
slr5058	-1,0859789426	Non RNA-binding protein			
sll1667	-1,0864585625	Non RNA-binding protein			
slr0458	-1,0865291616	Non RNA-binding protein			
smr0015	-1,0867362954	Non RNA-binding protein			
slr1774	-1,0869196583	Non RNA-binding protein			
slr1778	-1,0874718198	Non RNA-binding protein			
sll0422	-1,0893416731	Non RNA-binding protein			
slr1705	-1,0893976912	Non RNA-binding protein			
slr1185	-1,0902023971	Non RNA-binding protein			
sll1634	-1,0902744542	Non RNA-binding protein			
slr1041	-1,0907357316	Non RNA-binding protein			
sll0293	-1,0921714374	Non RNA-binding protein			
slr0884	-1,0924354876	Non RNA-binding protein			
slr0581	-1,0927289363	Non RNA-binding protein			
ssl3127	-1,0941523146	Non RNA-binding protein			
slr0765	-1,0947957167	Non RNA-binding protein			
sll0218	-1,0951249845	Non RNA-binding protein			
sll1940	-1,0956238971	Non RNA-binding protein			
slr1047	-1,0957114963	Non RNA-binding protein			
slr2067	-1,0958182439	Non RNA-binding protein			
ssr2554	-1,0960066496	Non RNA-binding protein			
slr1667	-1,0966118211	Non RNA-binding protein			
sll7085	-1,0968911979	Non RNA-binding protein			
ssl2922	-1,0988164098	Non RNA-binding protein			
ssr1513	-1,1006537734	Non RNA-binding protein			
sll1870	-1,1007129412	Non RNA-binding protein			
slr0751	-1,1012755527	Non RNA-binding protein			
sll1102	-1,1013134925	Non RNA-binding protein			
slr1644	-1,1021372027	Non RNA-binding protein			
sll0241	-1,1022375907	Non RNA-binding protein			
sll1396	-1,1026426581	Non RNA-binding protein			
sll1263	-1,1030019732	Non RNA-binding protein			
ssr0854	-1,1032009527	Non RNA-binding protein			
slr2116	-1,1040246486	Non RNA-binding protein			
slr1828	-1,1055968628	Non RNA-binding protein			
sll0265	-1,1058168794	Non RNA-binding protein			
sll1142	-1,1062738499	Non RNA-binding protein			
ssr2549	-1,1072662743	Non RNA-binding protein			
sll1455	-1,1081346694	Non RNA-binding protein			
slr0702	-1,1082593784	Non RNA-binding protein			
sll0109	-1,1085711926	Non RNA-binding protein			
sll1057	-1,1085837518	Non RNA-binding protein			
slr0942	-1,1087058519	Non RNA-binding protein			
sll0147	-1,1092608541	Non RNA-binding protein			
ssr1038	-1,1093449835	Non RNA-binding protein			
sll1905	-1,1099096923	Non RNA-binding protein			
slr0520	-1,1104712659	Non RNA-binding protein			
slr0059	-1,1113063481	Non RNA-binding protein			
sll1019	-1,1121590836	Non RNA-binding protein			
ssl2615	-1,1129212982	Non RNA-binding protein			
sll0504	-1,1129633392	Non RNA-binding protein			
slr7096	-1,1132969322	Non RNA-binding protein			
sll8027	-1,1137736279	Non RNA-binding protein			
sll8027	-1,1137736279	Non RNA-binding protein			
slr1199	-1,1145593585	Non RNA-binding protein			
slr0615	-1,1156128436	Non RNA-binding protein			
slr1772	-1,1176519567	Non RNA-binding protein			
slr1724	-1,1178796094	Non RNA-binding protein			
slr1400	-1,1186846101	Non RNA-binding protein			
slr0337	-1,1196708105	Non RNA-binding protein			
sll0325	-1,1198012799	Non RNA-binding protein			
slr1258	-1,1198258945	Non RNA-binding protein			
sll1307	-1,1211501959	Non RNA-binding protein			
slr1485	-1,1212757524	Non RNA-binding protein			
ssl1498	-1,1213775241	Non RNA-binding protein			
slr1657	-1,1218497054	Non RNA-binding protein			
sll1495	-1,1227118478	Non RNA-binding protein			
slr1159	-1,1237239534	Non RNA-binding protein			
slr1179	-1,1240464013	Non RNA-binding protein			
slr0254	-1,1257137631	Non RNA-binding protein			
slr0359	-1,1262284566	Non RNA-binding protein			
slr0575	-1,1264873011	Non RNA-binding protein			
ssr3402	-1,1265677579	Non RNA-binding protein			
slr1821	-1,1272110705	Non RNA-binding protein			
slr1902	-1,1280288561	Non RNA-binding protein			
slr7023	-1,1288709495	Non RNA-binding protein			
slr7023	-1,1288709495	Non RNA-binding protein			
sll0984	-1,1290859472	Non RNA-binding protein			
slr1243	-1,1300946282	Non RNA-binding protein			
sll7065	-1,1309172465	Non RNA-binding protein			
sll7065	-1,1309172465	Non RNA-binding protein			
slr1771	-1,1309404185	Non RNA-binding protein			
ssl2296	-1,1311593065	Non RNA-binding protein			
slr0533	-1,1323719136	Non RNA-binding protein			
sll1958	-1,1327762554	Non RNA-binding protein			
slr1854	-1,1331380053	Non RNA-binding protein			
slr1505	-1,1331455359	Non RNA-binding protein			
sll1965	-1,1334576802	Non RNA-binding protein			
slr1881	-1,1342678871	Non RNA-binding protein			
sll0038	-1,1345687206	Non RNA-binding protein			
slr1846	-1,1350497292	Non RNA-binding protein			
sll5081	-1,1359094452	Non RNA-binding protein			
sll5081	-1,1359094452	Non RNA-binding protein			
slr0976	-1,1366977909	Non RNA-binding protein			
ssl0294	-1,1368147909	Non RNA-binding protein			
sll1353	-1,1374299954	Non RNA-binding protein			
slr1136	-1,1389551058	Non RNA-binding protein			
sll0982	-1,1389919598	Non RNA-binding protein			
sll0867	-1,1391640718	Non RNA-binding protein			
ssl0564	-1,1403948012	Non RNA-binding protein			
slr0709	-1,1414125109	Non RNA-binding protein			
sll7070	-1,1418663823	Non RNA-binding protein			
sll7070	-1,1418663823	Non RNA-binding protein			
slr0592	-1,1420670633	Non RNA-binding protein			
sll5080	-1,1434223986	Non RNA-binding protein			
sll5080	-1,1434223986	Non RNA-binding protein			
slr2071	-1,1435214849	Non RNA-binding protein			
sll1606	-1,1465634759	Non RNA-binding protein			
slr2095	-1,1465912148	Non RNA-binding protein			
ssr1600	-1,1473187636	Non RNA-binding protein			
sll1341	-1,1479040642	Non RNA-binding protein			
sgl0001	-1,1486387723	Non RNA-binding protein			
slr1419	-1,1492026153	Non RNA-binding protein			
sll0099	-1,1492045034	Non RNA-binding protein			
slr1594	-1,1494609459	Non RNA-binding protein			
sll1524	-1,1500620745	Non RNA-binding protein			
sll0356	-1,1511673118	Non RNA-binding protein			
slr0946	-1,1513343833	Non RNA-binding protein			
sll1052	-1,1527795227	Non RNA-binding protein			
slr0201	-1,1530465913	Non RNA-binding protein			
slr1679	-1,1536301047	Non RNA-binding protein			
slr1293	-1,1540321749	Non RNA-binding protein			
ssl5114	-1,1542092695	Non RNA-binding protein			
ssl5114	-1,1542092695	Non RNA-binding protein			
slr1065	-1,1550444165	Non RNA-binding protein			
sll0933	-1,1555303593	Non RNA-binding protein			
sll1545	-1,1557748294	Non RNA-binding protein			
sll1864	-1,1572349911	Non RNA-binding protein			
slr0171	-1,1573839946	Non RNA-binding protein			
slr0012	-1,1577125385	Non RNA-binding protein			
sll0380	-1,1577628177	Non RNA-binding protein			
slr2052	-1,1590521452	Non RNA-binding protein			
slr0601	-1,1599775978	Non RNA-binding protein			
slr1699	-1,1616051296	Non RNA-binding protein			
slr1350	-1,1630655468	Non RNA-binding protein			
sll1466	-1,1631655922	Non RNA-binding protein			
sll0830	-1,1632401647	Non RNA-binding protein			
slr1681	-1,1644343147	Non RNA-binding protein			
sll0780	-1,1645357244	Non RNA-binding protein			
sll1534	-1,1647576438	Non RNA-binding protein			
slr1150	-1,1648963747	Non RNA-binding protein			
sll7055	-1,1662575886	Non RNA-binding protein			
slr0807	-1,1663583866	Non RNA-binding protein			
sll1051	-1,1687518428	Non RNA-binding protein			
sll1228	-1,1690390143	Non RNA-binding protein			
sll0544	-1,1696979211	Non RNA-binding protein			
slr5088	-1,1716249884	Non RNA-binding protein			
slr5088	-1,1716249884	Non RNA-binding protein			
slr1273	-1,1735949316	Non RNA-binding protein			
slr0695	-1,1742048831	Non RNA-binding protein			
slr1302	-1,1751086991	Non RNA-binding protein			
slr0462	-1,1752896471	Non RNA-binding protein			
ssl3649	-1,1759633472	Non RNA-binding protein			
slr1619	-1,1760882329	Non RNA-binding protein			
sll1407	-1,1764401173	Non RNA-binding protein			
slr0661	-1,1770387031	Non RNA-binding protein			
slr1278	-1,1783986303	Non RNA-binding protein			
slr0207	-1,1787658118	Non RNA-binding protein			
slr5053	-1,1793533191	Non RNA-binding protein			
slr5053	-1,1793533191	Non RNA-binding protein			
sll1393	-1,1797768811	Non RNA-binding protein			
sll0997	-1,1801772412	Non RNA-binding protein			
slr5013	-1,1808374543	Non RNA-binding protein			
slr5013	-1,1810193446	Non RNA-binding protein			
slr0599	-1,1810876118	Non RNA-binding protein			
slr2078	-1,1816506188	Non RNA-binding protein			
sll1231	-1,1830957793	Non RNA-binding protein			
sll5044	-1,1843054762	Non RNA-binding protein			
sll5044	-1,1843054762	Non RNA-binding protein			
slr0984	-1,1848239192	Non RNA-binding protein			
ssl0242	-1,1852673953	Non RNA-binding protein			
slr0186	-1,1853277179	Non RNA-binding protein			
sll0309	-1,1862837712	Non RNA-binding protein			
slr1409	-1,1863341011	Non RNA-binding protein			
sll1318	-1,1865600704	Non RNA-binding protein			
slr0377	-1,1872474605	Non RNA-binding protein			
slr2031	-1,1881700191	Non RNA-binding protein			
sll0772	-1,1890333246	Non RNA-binding protein			
slr0476	-1,1896315312	Non RNA-binding protein			
slr1613	-1,1898163478	Non RNA-binding protein			
slr2041	-1,1901463379	Non RNA-binding protein			
sll1035	-1,1901852926	Non RNA-binding protein			
slr2077	-1,1904667365	Non RNA-binding protein			
ssl2923	-1,1918667673	Non RNA-binding protein			
sll0751	-1,1919544296	Non RNA-binding protein			
slr0208	-1,1926949807	Non RNA-binding protein			
sll1555	-1,1933278861	Non RNA-binding protein			
sll0680	-1,1935623572	Non RNA-binding protein			
sll0257	-1,1937809334	Non RNA-binding protein			
slr0827	-1,1942319433	Non RNA-binding protein			
slr7060	-1,1942351591	Non RNA-binding protein			
slr7060	-1,1942351591	Non RNA-binding protein			
slr0510	-1,1949212127	Non RNA-binding protein			
sll1442	-1,1956604307	Non RNA-binding protein			
